DAY_OF_WEEK,FL_DATE,OP_UNIQUE_CARRIER,OP_CARRIER_FL_NUM,ORIGIN_AIRPORT_ID,DEST_AIRPORT_ID,CRS_DEP_TIME,DEP_DELAY_NEW,CANCELLED,WEATHER_DELAY
1,8/26/2019,9E,5018,13198,11193,1959,0,0,
1,8/5/2019,9E,5019,11986,11433,805,0,0,
1,8/5/2019,9E,5020,14492,12953,605,0,0,
1,8/12/2019,9E,5020,14492,12953,605,0,0,
1,8/19/2019,9E,5020,14492,12953,605,0,0,
1,8/26/2019,9E,5020,14492,12953,605,0,0,
1,8/5/2019,9E,5021,10397,11977,1444,25,0,0
1,8/19/2019,9E,5021,11003,11433,625,1,0,
1,8/26/2019,9E,5021,11003,11433,625,0,0,
1,8/12/2019,9E,5021,11986,11433,815,0,0,
1,8/5/2019,9E,5022,12478,11278,805,0,0,
1,8/12/2019,9E,5022,12478,11278,805,0,0,
1,8/19/2019,9E,5022,12478,11278,805,3,0,
1,8/26/2019,9E,5022,12478,11278,805,0,0,
1,8/5/2019,9E,5023,12478,10821,900,0,0,
1,8/12/2019,9E,5023,12478,10821,900,0,0,
1,8/19/2019,9E,5023,12478,10821,900,0,0,
1,8/26/2019,9E,5023,12478,10821,900,3,0,
1,8/5/2019,9E,5024,12953,10990,845,0,0,
1,8/5/2019,9E,5025,11977,10397,1659,15,0,
1,8/12/2019,9E,5025,11977,10397,1714,0,0,
1,8/19/2019,9E,5025,11977,10397,1714,22,0,
1,8/26/2019,9E,5025,11977,10397,1714,0,0,
1,8/5/2019,9E,5026,10721,11042,1420,0,0,
1,8/12/2019,9E,5026,11042,10721,1740,0,0,
1,8/5/2019,EV,4264,12266,12915,1020,0,0,
1,8/12/2019,EV,4264,12266,12915,1020,0,0,
1,8/19/2019,EV,4264,12266,12915,1020,0,0,
1,8/26/2019,EV,4264,12266,12915,1020,0,0,
1,8/26/2019,EV,4264,15016,12266,635,23,0,23
1,8/5/2019,EV,4265,13930,12992,1950,1,0,0
1,8/12/2019,EV,4265,13930,12992,1950,,1,
1,8/19/2019,EV,4265,13930,12992,1950,55,0,0
1,8/26/2019,EV,4265,13930,12992,1950,152,0,0
1,8/5/2019,EV,4266,12992,12266,1850,0,0,
1,8/12/2019,EV,4266,12992,12266,1850,12,0,0
1,8/19/2019,EV,4266,12992,12266,1850,0,0,
1,8/26/2019,EV,4266,12992,12266,1850,0,0,
1,8/5/2019,EV,4268,10781,12266,930,0,0,
1,8/12/2019,EV,4268,10781,12266,930,0,0,
1,8/19/2019,EV,4268,10781,12266,930,0,0,
